"sigma","sigma.2","ub_old","ub_k2","lb_k2","ub_k2_add","lb_k2_unadd","ub_k3","lb_k3","ub_k3_add","lb_k3_unadd","ub_k4","lb_k4","ub_k4_add","lb_k4_unadd","ub_k2_unadd","ub_k3_unadd","ub_k4_unadd"
0.1,0.01,0.0106373525816308,0.00508088250401489,0.00492373930841294,0.00847312697461539,0.00498424899056926,0.00500318842221822,0.00499722180902018,0.00468392560011382,0.00502741240206669,0.00500022421627191,0.00499982113608671,0.0202882853005826,0.00500153308834234,0.00508079877769507,0.00499045864344824,0.00496739062125984
0.101,0.010201,0.0103795184266491,0.00518479256582943,0.0050211162201485,0.0050030483185633,0.0051318343242398,0.00510390027377022,0.00509754474857554,0.00386639388473689,0.00513307476877481,0.00510074512126296,0.00510030518528498,-0.00321477512555926,0.00511825344116704,0.00513110109872117,0.0049972265505478,0.00515895362115051
0.102,0.010404,0.0110618355518016,0.00528981318543437,0.00511939735490946,0.000981920420647296,0.00510976742061814,0.00520562420232937,0.00519885819179805,0.00820641705549086,0.00516491538957231,0.00520226778040331,0.00520178796902834,0.0136389053028689,0.00520322511124638,0.00527490861569591,0.00527167318823926,0.00518784453400278
0.103,0.010609,0.00956768763591128,0.00539594696021095,0.00521858072493248,0.00316776629982519,0.0052145767722766,0.00530836079166508,0.0053011617199657,0.0026702636270215,0.00526714945213769,0.00530479232563461,0.00530426939863701,0.00504085650093245,0.00528839231842937,0.00546971638767435,0.00524117636029559,0.00530214603934251
0.104,0.010816,0.0125529196854208,0.00550319652956205,0.00531866431957512,0.00350566077545637,0.005371051971305,0.00541211064929353,0.00540445489954688,0.0110600373051246,0.00540772202221423,0.00540831889777466,0.00540774937996727,-0.00480793307827562,0.00537277981794337,0.00551717501124543,0.00542439610285728,0.00546777339507998
0.105,0.011025,0.0114971378597733,0.00561156457543605,0.00541964610521561,0.00677526338774874,0.00540522345182681,0.00551687440730492,0.00550873728179088,0.00404246207138996,0.00543136862759569,0.00551284764704041,0.00551222781312932,-0.00185624308578995,0.00549298156790617,0.00566980691702829,0.00550393985281047,0.00552161604810078
0.106,0.011236,0.012138510887747,0.00572105382286181,0.00552152402515221,0.00617816568945457,0.00564987372284664,0.00562265272320756,0.00561400840231113,0.00336578415020535,0.00564944807512371,0.00561837873361765,0.00561770459216762,0.00910421392523881,0.00547904499556054,0.00573275814428653,0.00564840006535958,0.0056757171403379
0.107,0.011449,0.00945897461223296,0.00583166704048632,0.00562429599949898,0.00337806459772253,0.00556598016581888,0.00572944628079361,0.00572026778064449,0.00622321372013218,0.00573697415549734,0.00572491232826439,0.00572417960475724,0.00206360957801379,0.00578478085166956,0.00581409664542426,0.00581859667770954,0.00580477587254766
0.108,0.011664,0.0117726169334033,0.00594340704112506,0.00572795992508501,0.00671788798588957,0.0057396473570826,0.00583725579102304,0.00582751491981423,0.00436159445261089,0.00582436708043926,0.00583244861289584,0.005831652731839,-0.00452660245186508,0.00580331698984257,0.00595591356516495,0.00580581868310567,0.00581591437703238
0.109,0.011881,0.0100969197791932,0.00605627668231573,0.00583251367534737,0.00532780255402507,0.0057480184169198,0.00594608199295404,0.00593574930588009,0.0029167562380068,0.00587953464926042,0.00594098778128871,0.00594012384729928,0.00655468531692901,0.00586575396244757,0.0060005667313377,0.00593648028054727,0.00588140822162744
0.11,0.0121,0.0120423223247837,0.00617027886687799,0.00593795510022505,0.00359984265839414,0.00593072222422092,0.00605592565467966,0.00604497040747307,0.00825547880667517,0.00605133877339611,0.00605053003973621,0.00604959281757228,0.010204154279517,0.00598465523620326,0.00623579648158801,0.00598689942421438,0.00597429998766008
0.111,0.012321,0.011781992206505,0.00628541654349041,0.00604428202605484,0.00400379198586284,0.00603853065302629,0.00616678757430827,0.00615517767532867,0.00798353095911299,0.00614103730852358,0.00616107560778956,0.00616005950126652,0.00679940036253657,0.00615446213041485,0.00624946772081691,0.00619321736086742,0.00611785439037041
0.112,0.012544,0.0114280837033902,0.00640169270725854,0.00615149225545841,0.00413720830363187,0.00618480584417314,0.00627866858095985,0.0062663705417986,0.00864460242125808,0.0061320757510695,0.00627262471902593,0.00627152374876705,0.0138331638854585,0.00621898738860788,0.00630376722543524,0.00628333856777544,0.0062999120246067
0.113,0.012769,0.0123713351228266,0.00651911040031178,0.00625958356723788,0.00606567442688289,0.00628863136677277,0.00639156953580469,0.00637854842036911,0.00340309909283618,0.00634571988033433,0.00638517762185886,0.00638398540181087,-0.00392092985361413,0.00641609431809254,0.00652952012112057,0.00632889736796255,0.00633865047180618
0.114,0.012996,0.0114696602144683,0.00663767271238663,0.00636855371626116,0.00405362826131202,0.00626966540164536,0.00650549133310988,0.0064917107051416,0.00198442689209843,0.0064648742015668,0.00649873458035452,0.00649744429301835,0.0129834856260087,0.00665324224832659,0.00671469821439985,0.00655453858652025,0.00648785649962089
0.115,0.013225,0.0139142802196282,0.00675738278143317,0.00647840043335202,0.00920339088141438,0.00643795380889811,0.00662043490134842,0.00660585677033176,0.00801557462119711,0.00655928692279895,0.00661329587516185,0.00661190024548089,0.00615392464704232,0.00668031916735307,0.00684297665423789,0.0066215150199076,0.00662209100245217
0.116,0.013456,0.0127770674052289,0.00687824379422541,0.00658912142517792,0.00790362559189709,0.00647961426489141,0.00673640120430791,0.00672098596973547,0.00719367089934601,0.00665000875038879,0.00672886180442361,0.00672735307223271,0.00855501888671955,0.00656517981593244,0.0069067427029324,0.00684624675391746,0.00674237947039683
0.117,0.013689,0.0131032047481895,0.00700025898697604,0.00670071437413422,0.00868361841103843,0.0067717954236089,0.00685339124226131,0.00683709763620027,0.0153326882925962,0.00681654567669257,0.00684543268477122,0.00684380257578285,0.0145269379801956,0.00679990627415167,0.00705252337874346,0.00692814254227958,0.00679043879303534
0.118,0.013924,0.0148877146900776,0.00712343164596146,0.00681317693822897,0.00605595379628426,0.00685942712464599,0.00697140605313606,0.00695419108106235,0.00922739120045078,0.00687030806049074,0.00696300885235204,0.00696124854756477,0.00428682607927885,0.00697324322615281,0.00713950766512905,0.00686409854294653,0.0070499974450654
0.119,0.014161,0.0113515561448039,0.00724776510815817,0.00692650675096723,0.00632794873745654,0.00679640759573968,0.00709044671375589,0.00707226559359989,0.00891231276038602,0.0070340889232359,0.007081590663925,0.00707969076740153,0.0147814282540618,0.00705757785942734,0.0072391030332839,0.00710722923026041,0.00710532783432039
0.12,0.0144,0.0147460633150821,0.00737326276188305,0.00704070142123303,0.00813654050196381,0.00705237664516595,0.00721051434108416,0.00719132044044909,0.00851755224898921,0.00707329129863188,0.0072011784979874,0.00719912900292166,0.000710599930819229,0.00730734860848994,0.00745373901386959,0.00735730212370156,0.00729581371792146
0.121,0.014641,0.01440071244932,0.00749992804744459,0.00715575853316963,0.00974285362861954,0.00708116253749513,0.00733161009353034,0.00731135486502796,0.00400152527863702,0.00724770682279452,0.00732177275599416,0.00731956300897219,-0.00447134361354541,0.00724614716207703,0.00739473795643358,0.00729065225589501,0.00726522737603322
